编号,岗位名称,岗位要求
1,人力资源总监,"岗位职责：

岗位职责：

1、高层管理职位，协助决策层制定公司发展战略，负责其功能领域内短期及长期的公司决策和战略，对公司中长期目标的达成产生重要影响。

2、全面统筹规划人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本。

3、建立并完善人力资源管理体系，研究、设计人力资源管理模式（包含招聘、培训、绩效、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度。

4、及时处理公司管理过程中的重大人力资源问题，指导员工职业生涯规划。

5、负责公司的整体企业文化建设。

任职资格：

任职资格：

1、人力资源管理或相关专业统招本科以上学历;八年以上行政人事管理经验，三年以上人力资源总监或人力资源部经理工作经验。

2、了解现代企业人力资源管理模式和实践经验积累，熟悉人力资源的六大模块（人力资源规划、招聘与配置、培训与开发、绩效管理、薪酬福利管理、员工劳动关系管理）；熟悉国家、地区及企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策。

3、很强的计划性和实施执行的能力；有亲和力，很强的激励、沟通、协调、团队领导能力，责任心、事业心；具备良好的人际交往能力、组织协调能力、沟通能力以及解决复杂问题的能力。"
,,
2,人力资源总监hrd,"岗位职责：
1、按照公司总体战略及经营发展目标，制定公司人力资源战略及中长期人力资源规划和年度计划，并监督各项计划的实施；
2、明确企业人力资源目标和总体方案，提供有关人力资源战略、组织建设等方面的建议，并致力于提高企业的综合管理水平；
3、搭建满足公司未来三年发展需要的职位职级、薪酬架构、绩效管理等体系和制度流程，并推动落地实施；
4、建立、维护、发展和传播企业文化，推动企业文化2.0（使命、愿景、价值观) 落地；
5、建设人力资源的信息化管理系统，强化基础工作；
6、负责公司内部工作关系的协调，及时处理管理过程中的重大人力资源问题；
7、强化人力资源管理专业水平和团队建设，建立并培养具有激情、责任、创新、专业于一体的人力资源团队。

任职资格：
1、 人力资源管理、企业管理、心理学等相关专业，本科及以上学历；
2、10年以上人力资源工作经验，3年以上1000人以上公司人力资源总监从业经验；有咨询公司或上市公司人力资源管理经验优先；
3、对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个模块的工作；
4、具备战略性、策略性思维，有建立并整合不同工作团队的经验；
5、具备极强的领导及管理能力，具备出色的组织协调能力及分析判断能力。"
,,
3,人力资源副总监,"岗位职责

1. 根据公司发展需要，参与制定人力资源战略规划，为重大人事决策提供建议和信息支持，提高公司的综合管理水平；

2. 建立并完善公司人力资源管理体系，研究、设计适合公司发展的人力资源管理模式（包含招聘、绩效、培训、薪酬及员工发展等体系的全面建设），制定和完善人力资源管理制度并实施；

3. 招聘优秀管理团队，实施人才发展储备计划，为公司各项发展提供人才保障，向公司高层提供有关人力资源战略、组织建设等方面的建议与实施；

4. 制订平台及各个项目、岗位的科学的绩效管理标准体系，组织实施绩效考核，并对绩效评价过程进行监督控制，不断完善绩效管理体系；

5. 根据公司业务发展规划，拟订薪资福利管理制度及薪资激励体系，监控人力资源成本，塑造、维护、发展和传播企业文化，丰富员工精神生活，增强员工对企业的归属感与团队凝聚力；

6. 及时处理公司管理过程中的重大人力资源问题；

7. 完成领导临时交办的其它工作。



任职要求

1. 人力资源管理、企业管理、工商管理等相关专业本科以上学历；

2. 5年以上人事管理经验，3年以上金融投资行业人力资源总监工作经验；

3. 擅长各类中高级人才的甄别和选拔，有5年及以上的专职招聘工作经验，具备猎头经验优先；

4. 对人力资源各个职能模块有全面和深入的认识并理解，熟悉国家相关政策、法律法规；

5. 具有极强的计划性和执行能力，有良好的沟通协调能力、组织能力；

6. 具有战略、策略化思维，有能力建立、整合不同的工作团队；

7. 亲和力强，抗压能力强，富有工作积极性。"
,,
4,人力资源总监,"职责描述：
1、根据公司发展战略，组织制定人力资源战略规划，参与公司重大人事决策；
2、全面负责全集团高端人才引进、薪酬激励、绩效考核等事项；
3、全面推进人力资源管理变革项目；
任职要求：
1、7年以上人力资源工作经验，4年以上人力资源总监或部门经理工作经验；
2、具有在干部管理、继任者计划、任职资格体系建设、中长期激励建设等有成功项目的落地经历；
3、有制造业、500强企业全面人力资源管理3年以上经验；
4、具有很强的人力资源专业能力，沟通能力、抗压能力、资源整合能力以及高层对话能力；"
,,
5,人力资源总监,"1、 根据公司发展战略制定人力资源规划并制定人力资源管理制度；
2、 通过对组织现状的诊断，建议人员及架构配置方案，优化人员实现人岗有效匹配；配合业务负责人进行人员配置的战 略布局
3、 配合商业策略，快速搭建医学研发专业化团队及重组，深度参与业务部门管理，根据整体策略，策划并落地成功推动项目
4、 拓展行业人才资源，建立并维护关键岗位外部潜在人才库
5、 组织核心人才的保留及发展
6、 推动组织文化建设，营造积极向上的公平、公正的组织氛围，发扬价值观，保证组织的 持续健康成长
7、 员工激励：开展多维度的员工激励，主导激励机制的制定、落实，并对其有效性进行持续监控；
8、 员工关系：员工关系的协调以及管理，为业务部门提供相应法律支持以及解决方案。
 
 
任职资格：
1、 人力资源、管理或相关专业本科以上学历
2、 对人力资源个模块有较深入的认识，能够指导各个模块的工作
3、 6年以上医药行业（研发人员）人力资源总监或高级经理工作经验
4、 具有战略、策略化思维，有能力建立、整合不同的工作团队
5、 具有良好的沟通协调能力、组织能力"
,,
6,人力资源总监,"职责描述：

1.根据公司发展战略，组织制定短、中、长期人力资源工作规划；

2.建立和完善人力资源管理体系、制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等）；

3.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；

4.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；

5.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；

6.负责公司的企业文化建设、及时处理公司人力资源管理中的重大问题。



任职要求：

1.人力资源、管理或相关专业背景，本科及以上学历，5年以上人力资源总监工作经验；

2.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；

3.丰富的团队搭建和管理经验，良好的领导能力与领导艺术，良好的团队协作精神，高度的责任心，工作积极主动，勇于担当；

4.熟悉国家相关法律、法规及用工政策；

5.良好的中英文沟通能力和人际交往能力，能够处理复杂的工作关系以完成工作；

6.具有优秀的战略思维、逻辑分析、优先级排序、规划以及落地能力；

7.具有强烈的“能做到”的态度，能够适应公司快节奏、高效率的工作环境。



优先录用资格：

1.有外资企业（含外商独资、中外合资企业）的工作经验；

2.有燃料电池汽车或相关零部件公司的人力工作经验，或者有汽车动力总成系统及零部件人力工作经验。

3,有MBA学历。"
,,
